id,workId,workTitle_ko,workTitle_en,workTitle_ja,name_ko,name_en,name_ja,description_ko,description_en,description_ja,lat,lng,address_ko,address_en,address_ja,tags,openHours_ko,openHours_en,openHours_ja,isOpen,scene_ko,scene_en,scene_ja,image,transitRoute_ko,transitRoute_en,transitRoute_ja
"spot-010","true-beauty","여신강림","True Beauty","女神降臨","새봄고등학교 (연세대학교 연희관)","Saebom High School (Yonsei Univ Yeonhui Hall)","セボム高校（延世大学延禧館）","주경, 수호, 서준이 함께 다닌 새봄고등학교의 낭만적인 등교길 및 캠퍼스 외관 촬영지. 서대문구 신촌 연세대학교 연희관입니다.","The romantic high school campus for Saebom High School, filmed at Yeonhui Hall in Yonsei University.","ジュギョン、スホ、ソジュンが通ったセボム高校のキャンパス外観.",37.5628,126.9387,"서울특별시 서대문구 연세로 50 (연세대학교 연희관)","50 Yonsei-ro, Seodaemun-gu, Seoul (Yonsei Univ)","ソウル特別市西大門区延世路50","landmark,youth,dramaSite","09:00 - 18:00","9:00 AM - 6:00 PM","09:00 - 18:00",true,"여신으로 변신한 주경이가 새봄고 캠퍼스를 걸어 등교하던 명장면","Jugyeong walking into Saebom High School campus as a beauty goddess","女神に変身したジュギョンがセボム高校のキャンパスを歩いて登校したシーン","assets/images/ㅇㅅ.jpeg","2호선 신촌역 2번 출구 -> 도보 12분","Line 2 Sinchon Stn Exit 2 -> Walk 12 mins","2号線新村駅2番出口 -> 徒歩12分"
"spot-021","true-beauty","여신강림","True Beauty","女神降臨","익선동 콤콤오락실 (주경이와 친구들의 레트로 데이트)","Ikseon-dong Retro Arcade (ComCom Arcade)","益善洞レトロゲームセンター","주경이가 친구들과 스티커 사진을 찍고 스트리트 파이터 게임을 즐기며 추억을 쌓던 익선동 한옥 골목길 오락실.","The retro arcade in Ikseon-dong hanok alley where Jugyeong played games and took photo stickers.","ジュギョンが友達とステッカー写真を撮りゲームを楽しんだ益善洞韓屋のレトロゲームセンター.",37.5724,126.9895,"서울특별시 종로구 수표로28길 23-6","23-6 Supyo-ro 28-gil, Jongno-gu, Seoul","ソウル特別市鐘路区水標路28キル23-6","street,youth,photospot","10:00 - 23:00","10:00 AM - 11:00 PM","10:00 - 23:00",true,"서준이와 주경이가 티격태격 게임 배틀을 벌이던 오락실 장면","Seojun and Jugyeong playing arcade games together in Ikseon-dong","ソジュンとジュギョンがゲーム対決を繰り広げたゲームセンター","assets/images/ㅇㅅ.jpeg","1호선/3호선/5호선 종로3가역 4번 출구 -> 도보 2분","Line 1/3/5 Jongno 3-ga Stn Exit 4 -> Walk 2 mins","鐘路3街駅4番出口 -> 徒歩2分"
"spot-011","secretary-kim","김비서가 왜 그럴까","What's Wrong with Secretary Kim","キム秘書はいったいなぜ","김미소 집 (갤러리 카페 의외의 조합)","Kim Mi-so's House (Gallery Cafe)","キム・ミソの家（ギャラリーカフェ）","극 중 김미소 비서(박민영)의 옥탑방 집으로 등장한 해방촌 소월로 골목길 건물. 1층은 예쁜 카페, 옥상은 남산 뷰 명소입니다.","The actual building used as Kim Mi-so's rooftop home in Haebangchon. Features a nice cafe on 1F and Namsan view.","キム・ミソ秘書の屋上部屋として登場した解放村素月路の建物.",37.5492,126.9824,"서울특별시 용산구 소월로20길 55","55 Sowol-ro 20-gil, Yongsan-gu, Seoul","ソウル特別市龍山区素月路20キル55","cafe,romance,dramaSite","12:00 - 21:00","12:00 PM - 9:00 PM","12:00 - 21:00",true,"이영준 부회장이 미소를 집 앞까지 바래다주고 고백하던 옥탑방 계단","Vice Chairman Young-joon walking Mi-so home to her rooftop stairs","イ・ヨンジュン副会長がミソを家まで送り届けた屋上階段","assets/images/ㄱㅂㅅ.jpeg","4호선 회현역 4번 출구 -> 용산02 마을버스 승차 -> 도보 3분","Line 4 Hoehyeon Stn Exit 4 -> Bus Yongsan02 -> Walk 3 mins","4号線会賢駅4番出口 -> 徒歩3分"
"spot-012","secretary-kim","김비서가 왜 그럴까","What's Wrong with Secretary Kim","キム秘書はいったいなぜ","에버랜드 (영준의 프라이빗 놀이공원 통째 대관 데이트)","Everland (Private Amusement Park Date)","エバーランド（貸切遊園地デート）","이영준 부회장이 퇴사를 선언한 김미소 비서를 위해 놀이공원 전체를 대관하여 회전목마와 불꽃놀이를 선물했던 로맨틱 끝판왕 촬영지.","The famous theme park reserved entirely by Young-joon for a private romantic date with Mi-so.","イ・ヨンジュン副会長がキム・ミソ秘書のために遊園地全体を貸切にしてメリーゴーランドをプレゼントした場所.",37.2933,127.2024,"경기도 용인시 처인구 포곡읍 에버랜드로 199","199 Everland-ro, Pogok-eup, Cheoin-gu, Yongin-si, Gyeonggi-do","京畿道龍仁市処仁区蒲谷邑エバーランド路199","landmark,romance,dramaSite","10:00 - 22:00","10:00 AM - 10:00 PM","10:00 - 22:00",true,"밤하늘 화려한 불꽃놀이와 회전목마 앞에서 펼쳐진 영준과 미소의 로맨틱 데이트","Private fireworks and carousel date scene under the night sky","夜空を彩る花火の下でのヨンジュンとミソのロマンチックな告白","assets/images/ㄱㅂㅅ.jpeg","수인분당선 기흥역 -> 에버라인 환승 -> 전대·에버랜드역 하차","Giheung Stn -> Transfer to EverLine -> Get off at Everland Stn","器興駅からエバーライン乗り換え"
"spot-022","secretary-kim","김비서가 왜 그럴까","What's Wrong with Secretary Kim","キム秘書はいったいなぜ","상암동 DDMC (유명그룹 본사 사옥)","Sangam DDMC (Yumyeong Group HQ)","上岩DDMC（有名グループ本社ビル）","부회장 이영준과 완벽주의 비서 김미소가 매일 출퇴근하며 치열한 오피스 밀당을 벌였던 유명그룹 사옥 촬영지.","The high-tech corporate building serving as Yumyeong Group Headquarters in Sangam-dong.","副会長イ・ヨンジュンと秘書キム・ミソが毎日出退勤した有名グループ本社の撮影地.",37.5786,126.892,"서울특별시 마포구 매봉산로 75 (상암 DDMC)","75 Maebongsan-ro, Mapo-gu, Seoul","ソウル特別市麻浦区梅峰山路75","building,dramaSite","09:00 - 18:00","9:00 AM - 6:00 PM","09:00 - 18:00",true,"영준이 전용 엘리베이터에서 내리고 미소가 수석비서 업무를 챙기던 로비 현장","Young-joon and Mi-so entering the office building lobby","ヨンジュンとミソがオフィスビルのロビーを出入りするシーン","assets/images/ㄱㅂㅅ.jpeg","공항철도/6호선 디지털미디어시티역 9번 출구 -> 도보 5분","Airport Line Digital Media City Stn Exit 9 -> Walk 5 mins","DMC駅9番出口 -> 徒歩5分"
"spot-013","youngest-son","재벌집 막내아들","Reborn Rich","財閥家の末っ子","정심재 (순양그룹 진양철 회장 자택 - 옛 부산시장 관사 도모헌)","Jeongsimjae (Domoheon - Sunyang HQ)","正心斎（旧釜山市長官邸 DOMOHEON）","순양그룹 창업주 진양철 회장의 거대 저택 정심재의 실제 촬영지. 부산 수영구 남천동 황령산 자락에 위치한 옛 부산시장 관사 도모헌입니다.","The grand estate Jeongsimjae, home of Sunyang Group Founder Jin Yang-chul. Located in Busan (Domoheon).","順洋グループ創業者・陳会長の威厳ある邸宅正心斎の実際の撮影地.",35.1588,129.1604,"부산광역시 수영구 황령산로7번길 60 (도모헌)","60 Hwangryeongsan-ro 7beon-gil, Suyeong-gu, Busan","釜山広域市水営区荒嶺山路7キル60","building,dramaSite,landmark","10:00 - 18:00 (월요일 휴무)","10:00 AM - 6:00 PM (Closed Mondays)","10:00 - 18:00（月曜休館）",true,"진도준이 할아버지 진양철 회장의 신임을 얻으며 가족 모임에 참석하던 정심재 웅장한 대문","Jin Do-jun entering Jin Yang-chul's estate Jeongsimjae","チン・ドジュンが祖父の信任を得て家族会合に出席した正心斎の重厚な大門","assets/images/ㅈ.jpeg","부산지하철 2호선 남천역 1번 출구 -> 도보 10분","Busan Line 2 Namcheon Stn Exit 1 -> Walk 10 mins","釜山地下鉄2号線南川駅1番出口 -> 徒歩10分"
"spot-014","youngest-son","재벌집 막내아들","Reborn Rich","財閥家の末っ子","삼청동 카페 보드레 (진도준과 서민영의 한옥 비밀 아지트)","Cafe Bodre (Do-jun & Min-young Hanok Hideout)","三清洞カフェ・ボドレ（ドジュン＆ミニョン韓屋アジト）","진도준이 법대생 시절 서민영과 만나며 순양가 승계 전략 수립과 연애를 함께하던 삼청동 한옥 카페 촬영지.","The traditional hanok cafe in Samcheong-dong where Do-jun met Min-young during law school.","チン・ドジュンが法学生時代にソ・ミニョンと会い戦略を練った三清洞の韓屋カフェ.",37.583,126.9835,"서울특별시 종로구 화동 138-7 (삼청동)","138-7 Hwa-dong, Jongno-gu, Seoul","ソウル特別市鐘路区花洞138-7","cafe,dramaSite,romance","11:00 - 21:00","11:00 AM - 9:00 PM","11:00 - 21:00",true,"도준이 민영과 함께 커피를 마시며 미라클 투자 전략을 세우던 아늑한 한옥 테라스","Do-jun and Min-young meeting at the hanok cafe terrace","ドジュンがミニョンとコーヒーを飲みながら戦略を練った韓屋テラス","assets/images/ㅈ.jpeg","3호선 안국역 1번 출구 -> 도보 7분","Line 3 Anguk Stn Exit 1 -> Walk 7 mins","3号線安国駅1番出口 -> 徒歩7分"
"spot-023","youngest-son","재벌집 막내아들","Reborn Rich","財閥家の末っ子","그랜드 하얏트 서울 (순양그룹 창업 및 반도체 선언 행사장)","Grand Hyatt Seoul (Sunyang Semiconductor Hall)","グランドハイアットソウル（順洋半導体宣言）","진양철 회장이 순양 반도체 사운을 걸고 대규모 창업 선언 연설을 감행했던 남산 하얏트 Grand Ballroom 촬영지.","The luxury Namsan hotel ballroom where Chairman Jin declared Sunyang's semiconductor investment.","陳会長が順洋半導体への投資を宣言した南山のラグジュアリーホテル.",37.539,126.9975,"서울특별시 용산구 소월로 322","322 Sowol-ro, Yongsan-gu, Seoul","ソウル特別市龍山区素月路322","building,landmark,dramaSite","24시간","24 Hours","24時間",true,"진양철 회장이 기자회견을 열어 순양의 미래 반도체 사업 투자를 강력히 선언하던 볼룸","Chairman Jin announcing Sunyang's semiconductor business to the press","陳会長が記者会見を開き半導体事業投資を宣言したボールルーム","assets/images/ㅈ.jpeg","6호선 한강진역 1번 출구 -> 용산03 마을버스 승차 -> 하얏트호텔 하차","Line 6 Hangangjin Stn Exit 1 -> Bus Yongsan03","6号線漢江鎮駅1番出口 -> バス乗車"
"spot-015","omniscient-reader","전지적 독자 시점","Omniscient Reader's Viewpoint","全知的読者の視点で","지하철 3호선 동호대교 (첫 번째 시나리오 한강 교량)","Subway Line 3 Dongho Bridge (First Scenario)","地下鉄3号線東湖大橋（最初のシナリオ）","소설 속 세상으로 변해버린 3호선 지하철 안에서 김독자가 살아남아 탈선 후 한강을 건너며 도깨비 비형과 만난 가장 상징적 장소.","The iconic bridge on Subway Line 3 where Kim Dokja survived the first scenario and crossed the Han River.","小説の世界に変わってしまった地下鉄3号線の中でキム・ドクジャが生き残り、漢江を渡った橋.",37.5365,127.0165,"서울특별시 성동구 옥수동 ~ 강남구 압구정동 (옥수역 6번 출구)","Dongho Bridge (Oksu Stn Exit 6 to Apgujeong)","ソウル特別市城東区玉水洞〜江南区狎鴎亭洞","landmark,nightView,fantasy","24시간","24 Hours","24時間",true,"3호선 열차 탈선 후 붉은 강물이 흐르던 동호대교 위에서 옥수역으로 걸어가던 장면","Kim Dokja walking along Dongho Bridge toward Oksu Station after subway derailment","3号線脱線後、赤い川が流れる東湖大橋の上を歩いたシーン","assets/images/ㅈㄷㅅ.jpeg","3호선/경의중앙선 옥수역 6번 출구 -> 도보 2분","Line 3 Oksu Stn Exit 6 -> Walk 2 mins","3号線玉水駅6番出口 -> 徒歩2分"
"spot-016","omniscient-reader","전지적 독자 시점","Omniscient Reader's Viewpoint","全知的読者の視点で","3호선 금호역 (김독자 일행의 첫 번째 메인 거점)","Kumho Station Line 3 (First Main Base)","地下鉄3号線金湖駅（最初の拠点）","김독자가 유상아, 이현성, 길영이와 함께 첫 번째 메인 시나리오를 완료하고 텐트를 치며 화신 집단을 다스리던 지하철 거점 역.","The subway station serving as Kim Dokja's group main base after completing the first scenario.","キム・ドクジャが最初のメインシナリオを完了し拠点とした地下鉄3号線金湖駅.",37.548,127.0158,"서울특별시 성동구 동호로 지하 180 (금호역)","180 Dongho-ro, Seongdong-gu, Seoul (Kumho Stn)","ソウル特別市城東区東湖路地下180","landmark,fantasy,building","05:30 - 24:00","5:30 AM - 12:00 AM","05:30 - 24:00",true,"독자가 금호역 지하 역사 안에서 철두그룹과 대립하고 식량을 배분하던 거점 장면","Kim Dokja managing resources and confronting rival groups inside Kumho Station","ドクジャが金湖駅地下の拠点で食料を分配しライバルグループと対立したシーン","assets/images/ㅈㄷㅅ.jpeg","3호선 금호역 내부 지하승강장 및 대합실","Line 3 Kumho Stn (Direct inside)","3号線金湖駅直結"
"spot-024","omniscient-reader","전지적 독자 시점","Omniscient Reader's Viewpoint","全知的読者の視点で","대한극장 및 충무로역 (시나리오 3 백청교도 전투 무대)","Daehan Cinema & Chungmuro Stn (Scenario 3)","大韓劇場＆忠武路駅（シナリオ3戦闘舞台）","김독자와 유중혁이 옥좌 쟁탈전을 앞두고 시나리오 3 무대에서 방천화극 및 화신들과 격돌하던 충무로 역사 문화 거점.","The famous Chungmuro theater area serving as the battleground for Scenario 3.","キム・ドクジャとユ・ジュンヒョクがシナリオ3で激突した忠武路の劇場.",37.5608,126.995,"서울특별시 중구 퇴계로 212 (충무로역 1번 출구)","212 Toegye-ro, Jung-gu, Seoul","ソウル特別市中区退渓路212","landmark,fantasy,photospot","24시간","24 Hours","24時間",true,"독자가 충무로역 영화관 상영관 안에서 유중혁과 인카운터하여 공방을 벌이던 장면","Dokja encountering Yoo Joonghyuk inside Daehan Cinema Chungmuro","ドクジャが忠武路の映画館でユ・ジュンヒョクと遭遇し攻防を繰り広げたシーン","assets/images/ㅈㄷㅅ.jpeg","3호선/4호선 충무로역 1번 출구 직결","Line 3/4 Chungmuro Stn Exit 1 Direct Connection","3号線/4号線忠武路駅1번出口直結"
"spot-017","garbage-time","가비지타임","Garbage Time","ガベージタイム","부산중앙고등학교 (지상고등학교 농구부 실화 모티브)","Busan Central High School (Jisang High Real Motif)","釜山中央高等学校（地上高校実話モチーフ）","교체 선수 없이 단 5명의 농구부 선수로 전국대회 결승 진출 신화를 쓴 지상고등학교의 실제 모델이자 농구 명문 고등학교.","The real-world high school basketball powerhouse that inspired Jisang High School's legendary 5-player run.","交代選手なしの5人だけで全国大会準優勝を果たした地上高校の実際のモデル校.",35.1052,129.0385,"부산광역시 중구 망양로 309 (부산중앙고)","309 Mangyang-ro, Jung-gu, Busan","釜山広域市中区望洋路309","landmark,street","09:00 - 18:00 (학교 외부 전경 관람)","9:00 AM - 6:00 PM (Exterior View Only)","09:00 - 18:00",true,"성준수, 기상호, 공태성이 땀 흘리며 연습하던 부산 산복도로 체육관 농구 코트 모티브","Jisang High members practicing on the hillside gym court","ソン・ジュンス、ギ・サンホが汗を流した体育館","assets/images/ㄱ.jpeg","부산1호선 부산역 7번 출구 -> 86번 버스 승차 -> 도보 1분","Busan Line 1 Busan Stn Exit 7 -> Bus 86 -> Walk 1 min","釜山1号線釜山駅7番出口 -> バス86乗車 -> 徒歩1分"
